place_id,place,name,Type,Best Season,Activities,Location,description,Rating,festival,No of People Visited,image,price per night
1,Pattadakal,Krishna Inn,Wildlife,Monsoon,Camping,"Pattadakal, Bagalkote",Wildlife spot known for culture.,4.6,Dasara,24990,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkUMkTEe9SHPtHE1pKE4tvQnS3JVM60CnlWA&s,3027
2,Pattadakal,Vaibhava Retreat,Heritage,Monsoon,Shopping,"Pattadakal, Bagalkote",Heritage spot known for adventure.,3.7,Dasara,16878,https://www.malnadhomestays.com/wp-content/uploads/2022/07/IMG_8739.jpg,8745
3,Almatti Dam,Kalyani Resort,Wildlife,Summer,Temple visit,"Almatti Dam, Bagalkote",Wildlife spot known for nature.,2.7,Makar Sankranti,24124,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkUMkTEe9SHPtHE1pKE4tvQnS3JVM60CnlWA&s,7504
4,Pattadakal,Krishna Resort,Wildlife,Summer,Shopping,"Pattadakal, Bagalkote",Wildlife spot known for beauty.,4.4,Basava Jayanthi,18902,https://r1imghtlak.mmtcdn.com/eb705ac8792311ec82780a58a9feac02.jpg,6196
5,Aihole,Krishna Retreat,Camping,Winter,Boating,"Aihole, Bagalkote",Camping spot known for nature.,4.6,Basava Jayanthi,16999,https://www.malnadhomestays.com/wp-content/uploads/2022/07/IMG_8739.jpg,6355
6,Aihole,Rudra Cottages,Wildlife,Winter,Temple visit,"Aihole, Bagalkote",Wildlife spot known for culture.,2.4,Dasara,16696,https://a0.muscache.com/im/pictures/b82ce287-9d4e-4a34-82dc-4a806faf1911.jpg,2891
7,Badami,Sharanas Resort,Wildlife,Monsoon,Temple visit,"Badami, Bagalkote",Wildlife spot known for pilgrimage.,2,Dasara,17488,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTofPvQ27u835spih3hJa86LdwsLEV15vYoRw&s,6677
8,Badami,Rudra Homestay,Camping,Summer,Shopping,"Badami, Bagalkote",Camping spot known for peace.,3.8,Ugadi,22676,https://www.raahghar.com/public/storage/image/stay/gallery/woodways-estate/dsfghjk.webp,8154
9,Badami,Heritage Homestay,Wildlife,Summer,Sightseeing,"Badami, Bagalkote",Wildlife spot known for nature.,3.1,Mahashivaratri,13238,https://cf.bstatic.com/xdata/images/hotel/max1024x768/506248607.jpg?k=d7800ceb5dd4d24ab94204b86183a81117dc84dd69f7bcf0f02ce5d3665c09a2&o=&hp=1,5166
10,Aihole,Ilkal Homestay,Cultural,Monsoon,Boating,"Aihole, Bagalkote",Cultural spot known for peace.,2.8,Karthika Deepotsava,7996,https://r1imghtlak.mmtcdn.com/eb705ac8792311ec82780a58a9feac02.jpg,2611
11,Pattadakal,Waterfall Retreat,Camping,Monsoon,Boating,"Pattadakal, Bagalkote",Camping spot known for nature.,2.3,Banashankari Jatre,14684,https://r1imghtlak.mmtcdn.com/eb705ac8792311ec82780a58a9feac02.jpg,9187
12,Aihole,Ilkal Cottages,Wildlife,Winter,Sightseeing,"Aihole, Bagalkote",Wildlife spot known for pilgrimage.,2.6,Diwali,8358,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEkc8lOD4vjprli8oWUVMvI0-JaucS3vlmG6oRwNn4SmcDOS0T862FwIyXrqMNvPAE5Mc&usqp=CAU,5531
13,Badami,Vaibhava Camps,Wildlife,Winter,Boating,"Badami, Bagalkote",Wildlife spot known for culture.,4.3,Makar Sankranti,24491,https://media1.thrillophilia.com/filestore/nvo0xhg6apoborpgftq98wacwvva_1583842082_1574170588_Photo_from_YOGESH_P_(3).jpg.jpg?w=340&dpr=2,7489
14,Badami,Kalyani Stay,Cultural,Summer,Birdwatching,"Badami, Bagalkote",Cultural spot known for serenity.,2.5,Banashankari Jatre,20779,https://www.raahghar.com/public/storage/image/stay/gallery/chengappa-estate-homestead/ch3.webp,9950
15,Aihole,Rudra Resort,Cultural,Winter,Shopping,"Aihole, Bagalkote",Cultural spot known for pilgrimage.,3,Karthika Deepotsava,19718,https://q-xx.bstatic.com/xdata/images/hotel/max500/490989526.jpg?k=01cae1a25869f2814bd82ca9f0777a73abe2bac936e63bdde0441981c7706a62&o=,2731
16,Kudalasangama,Waterfall Resort,Heritage,Winter,Boating,"Kudalasangama, Bagalkote",Heritage spot known for serenity.,3,Banashankari Jatre,8480,https://cf.bstatic.com/xdata/images/hotel/max1024x768/506248607.jpg?k=d7800ceb5dd4d24ab94204b86183a81117dc84dd69f7bcf0f02ce5d3665c09a2&o=&hp=1,9719
17,Kudalasangama,Vaibhava Resort,Adventure,Monsoon,Shopping,"Kudalasangama, Bagalkote",Adventure spot known for serenity.,3,Ugadi,4257,https://media1.thrillophilia.com/filestore/omuroqe39mlp3r9iyltqt4p82jr6_frndz.png?w=340&dpr=2,9835
18,Pattadakal,Heritage Camps,Wildlife,Summer,Trekking,"Pattadakal, Bagalkote",Wildlife spot known for culture.,4.5,Diwali,24237,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkUMkTEe9SHPtHE1pKE4tvQnS3JVM60CnlWA&s,9512
19,Badami,Nirvana Resort,Heritage,Winter,Temple visit,"Badami, Bagalkote",Heritage spot known for history.,2.2,Mahashivaratri,16264,https://www.raahghar.com/public/storage/image/stay/gallery/chengappa-estate-homestead/ch3.webp,2965
20,Almatti Dam,Kalyani Stay,Camping,Winter,Boating,"Almatti Dam, Bagalkote",Camping spot known for serenity.,4.7,Banashankari Jatre,16871,https://karnatakatourism.org/wp-content/uploads/2020/08/palace-estate-coorg.png,5952
21,Pattadakal,Vaibhava Stay,Heritage,Monsoon,Shopping,"Pattadakal, Bagalkote",Heritage spot known for peace.,2.2,Banashankari Jatre,3928,https://media2.thrillophilia.com/images/photos/000/045/476/original/1522492632_angana1.jpg?w=753&h=450&dpr=1.0,4022
22,Aihole,Sharanas Stay,Adventure,Monsoon,Sightseeing,"Aihole, Bagalkote",Adventure spot known for adventure.,3.3,Dasara,14870,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEkc8lOD4vjprli8oWUVMvI0-JaucS3vlmG6oRwNn4SmcDOS0T862FwIyXrqMNvPAE5Mc&usqp=CAU,9601
23,Pattadakal,Waterfall Stay,Cultural,Monsoon,Boating,"Pattadakal, Bagalkote",Cultural spot known for pilgrimage.,1.8,Mahashivaratri,7037,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNlQDuA4uXy6e7HO0hdGknDlcgPNo5H-bl3wcbh_XJCO7-SJysLJrzkaAxllvB_0LyUCw&usqp=CAU,3282
24,Kudalasangama,Rudra Homestay,Heritage,Summer,Shopping,"Kudalasangama, Bagalkote",Heritage spot known for serenity.,3.6,Diwali,17828,https://q-xx.bstatic.com/xdata/images/hotel/max500/490989526.jpg?k=01cae1a25869f2814bd82ca9f0777a73abe2bac936e63bdde0441981c7706a62&o=,6864
25,Pattadakal,Vaibhava Inn,Heritage,Winter,Boating,"Pattadakal, Bagalkote",Heritage spot known for culture.,3.8,Mahashivaratri,14600,https://www.raahghar.com/public/storage/image/stay/gallery/rahasya/1730184113_jhgtyujgtyhgfrdcvb.webp,7741
26,Kudalasangama,Ilkal Resort,Adventure,Monsoon,Camping,"Kudalasangama, Bagalkote",Adventure spot known for history.,2.7,Diwali,19339,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkUMkTEe9SHPtHE1pKE4tvQnS3JVM60CnlWA&s,8978
27,Almatti Dam,Rudra Cottages,Pilgrimage,Summer,Trekking,"Almatti Dam, Bagalkote",Pilgrimage spot known for peace.,3.3,Karthika Deepotsava,13062,https://www.raahghar.com/public/storage/image/stay/gallery/woodways-estate/dsfghjk.webp,9939
28,Aihole,Krishna Homestay,Pilgrimage,Summer,Boating,"Aihole, Bagalkote",Pilgrimage spot known for beauty.,4.9,Basava Jayanthi,11706,https://a0.muscache.com/im/pictures/b82ce287-9d4e-4a34-82dc-4a806faf1911.jpg,7250
29,Aihole,Ilkal Inn,Heritage,Winter,Sightseeing,"Aihole, Bagalkote",Heritage spot known for pilgrimage.,2.3,Karthika Deepotsava,12928,https://a0.muscache.com/im/pictures/b82ce287-9d4e-4a34-82dc-4a806faf1911.jpg,5053
30,Almatti Dam,Waterfall Guest House,Adventure,Monsoon,Trekking,"Almatti Dam, Bagalkote",Adventure spot known for beauty.,3.9,Diwali,21555,https://a0.muscache.com/im/pictures/b82ce287-9d4e-4a34-82dc-4a806faf1911.jpg,9318
31,Belagavi City,Nirvana Camps,Cultural,Summer,Sightseeing,"Belagavi City, Belagavi",Cultural spot known for serenity.,4.5,Mahashivaratri,3618,https://www.raahghar.com/public/storage/image/stay/gallery/woodways-estate/dsfghjk.webp,8289
32,Kittur,Kalyani Homestay,Wildlife,Winter,Temple visit,"Kittur, Belagavi",Wildlife spot known for history.,3.6,Dasara,12460,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTofPvQ27u835spih3hJa86LdwsLEV15vYoRw&s,2526
33,Kittur,Krishna Stay,Nature,Winter,Temple visit,"Kittur, Belagavi",Nature spot known for adventure.,2.9,Banashankari Jatre,13612,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEkc8lOD4vjprli8oWUVMvI0-JaucS3vlmG6oRwNn4SmcDOS0T862FwIyXrqMNvPAE5Mc&usqp=CAU,5317
34,Gokak,Ilkal Stay,Adventure,Monsoon,Temple visit,"Gokak, Belagavi",Adventure spot known for peace.,2.1,Diwali,9731,https://media1.thrillophilia.com/filestore/omuroqe39mlp3r9iyltqt4p82jr6_frndz.png?w=340&dpr=2,4116
35,Belagavi City,Mallige Guest House,Pilgrimage,Winter,Boating,"Belagavi City, Belagavi",Pilgrimage spot known for beauty.,1.7,Basava Jayanthi,4670,https://r1imghtlak.mmtcdn.com/eb705ac8792311ec82780a58a9feac02.jpg,4642
36,Saundatti,Nirvana Cottages,Camping,Summer,Trekking,"Saundatti, Belagavi",Camping spot known for peace.,4.5,Banashankari Jatre,6944,https://www.raahghar.com/public/storage/image/stay/gallery/chengappa-estate-homestead/ch3.webp,4630
37,Saundatti,Vaibhava Stay,Pilgrimage,Summer,Shopping,"Saundatti, Belagavi",Pilgrimage spot known for pilgrimage.,1.9,Ugadi,8565,https://www.raahghar.com/public/storage/image/stay/gallery/woodways-estate/dsfghjk.webp,5912
38,Ramadurga,Rudra Resort,Nature,Monsoon,Temple visit,"Ramadurga, Belagavi",Nature spot known for pilgrimage.,4.2,Mahashivaratri,13638,https://media1.thrillophilia.com/filestore/nvo0xhg6apoborpgftq98wacwvva_1583842082_1574170588_Photo_from_YOGESH_P_(3).jpg.jpg?w=340&dpr=2,4301
39,Gokak,Rudra Guest House,Adventure,Summer,Boating,"Gokak, Belagavi",Adventure spot known for culture.,2.8,Banashankari Jatre,17777,https://cf.bstatic.com/xdata/images/hotel/max1024x768/506248607.jpg?k=d7800ceb5dd4d24ab94204b86183a81117dc84dd69f7bcf0f02ce5d3665c09a2&o=&hp=1,3021
40,Kittur,Waterfall Retreat,Adventure,Monsoon,Trekking,"Kittur, Belagavi",Adventure spot known for beauty.,5,Karthika Deepotsava,8443,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkUMkTEe9SHPtHE1pKE4tvQnS3JVM60CnlWA&s,6650
41,Ramadurga,Krishna Camps,Wildlife,Winter,Boating,"Ramadurga, Belagavi",Wildlife spot known for pilgrimage.,1.7,Banashankari Jatre,10141,https://www.raahghar.com/public/storage/image/stay/gallery/chengappa-estate-homestead/ch3.webp,3089
42,Saundatti,Mallige Guest House,Camping,Monsoon,Camping,"Saundatti, Belagavi",Camping spot known for history.,3.2,Basava Jayanthi,11517,https://r1imghtlak.mmtcdn.com/eb705ac8792311ec82780a58a9feac02.jpg,9427
43,Gokak,Ilkal Camps,Heritage,Monsoon,Birdwatching,"Gokak, Belagavi",Heritage spot known for beauty.,4.7,Dasara,1935,https://karnatakatourism.org/wp-content/uploads/2020/08/palace-estate-coorg.png,8772
44,Kittur,Mallige Cottages,Adventure,Monsoon,Shopping,"Kittur, Belagavi",Adventure spot known for history.,4.3,Karthika Deepotsava,5067,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPo9864w6JH20BGSUDz5deyrUcITuTz2h-cw&s,5283
45,Saundatti,Heritage Cottages,Cultural,Summer,Trekking,"Saundatti, Belagavi",Cultural spot known for adventure.,2.3,Dasara,23359,https://www.raahghar.com/public/storage/image/stay/gallery/woodways-estate/dsfghjk.webp,2549
46,Gokak,Kalyani Homestay,Adventure,Winter,Shopping,"Gokak, Belagavi",Adventure spot known for beauty.,2.6,Diwali,23120,https://www.raahghar.com/public/storage/image/stay/gallery/rahasya/1730184113_jhgtyujgtyhgfrdcvb.webp,8966
47,Saundatti,Rudra Camps,Camping,Winter,Shopping,"Saundatti, Belagavi",Camping spot known for culture.,4.8,Ugadi,4909,https://cf.bstatic.com/xdata/images/hotel/max1024x768/506248607.jpg?k=d7800ceb5dd4d24ab94204b86183a81117dc84dd69f7bcf0f02ce5d3665c09a2&o=&hp=1,4774
48,Gokak,Sharanas Retreat,Adventure,Summer,Camping,"Gokak, Belagavi",Adventure spot known for adventure.,4.4,Makar Sankranti,10734,https://r1imghtlak.mmtcdn.com/eb705ac8792311ec82780a58a9feac02.jpg,9003
49,Gokak,Heritage Resort,Cultural,Summer,Temple visit,"Gokak, Belagavi",Cultural spot known for culture.,4.1,Karthika Deepotsava,17832,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNlQDuA4uXy6e7HO0hdGknDlcgPNo5H-bl3wcbh_XJCO7-SJysLJrzkaAxllvB_0LyUCw&usqp=CAU,7702
50,Ramadurga,Sharanas Homestay,Heritage,Monsoon,Temple visit,"Ramadurga, Belagavi",Heritage spot known for nature.,4.3,Mahashivaratri,7525,https://a0.muscache.com/im/pictures/b82ce287-9d4e-4a34-82dc-4a806faf1911.jpg,6916
51,Belagavi City,Nirvana Cottages,Adventure,Monsoon,Trekking,"Belagavi City, Belagavi",Adventure spot known for serenity.,3.7,Mahashivaratri,17406,https://www.raahghar.com/public/storage/image/stay/gallery/rahasya/1730184113_jhgtyujgtyhgfrdcvb.webp,8837
52,Ramadurga,Mallige Resort,Wildlife,Summer,Trekking,"Ramadurga, Belagavi",Wildlife spot known for culture.,3.2,Basava Jayanthi,8261,https://s3.ap-south-1.amazonaws.com/primary0101211/storage/picture/rooms/1%20(3).1_1561962987.jpg,8460
53,Ramadurga,Vaibhava Retreat,Cultural,Winter,Camping,"Ramadurga, Belagavi",Cultural spot known for beauty.,2.1,Mahashivaratri,9583,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkUMkTEe9SHPtHE1pKE4tvQnS3JVM60CnlWA&s,2325
54,Saundatti,Kalyani Guest House,Wildlife,Summer,Sightseeing,"Saundatti, Belagavi",Wildlife spot known for adventure.,1.7,Diwali,9899,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNlQDuA4uXy6e7HO0hdGknDlcgPNo5H-bl3wcbh_XJCO7-SJysLJrzkaAxllvB_0LyUCw&usqp=CAU,9518
55,Ramadurga,Kalyani Homestay,Pilgrimage,Winter,Boating,"Ramadurga, Belagavi",Pilgrimage spot known for beauty.,2.3,Banashankari Jatre,20481,https://www.raahghar.com/public/storage/image/stay/gallery/chengappa-estate-homestead/ch3.webp,7879
